Open,High,Low,Close
1017.030029,1030.630005,1014.099976,1026.329956
1015.130005,1027.630005,1006.669983,1012.169983
1003.369995,1016.169983,1002.099976,1010.929993
1004.72998,1008.330017,991.200012,1003.369995
1008.669983,1011.700012,1001.369995,1004.72998
983.333008,1011.969971,980.200012,1008.630005
978.666992,985.200012,971.900024,983.767029
954.666992,975.833008,946.132996,973
970,973.299988,946.932983,951.46698
984.067017,988.867004,967,969.767029
983.333008,992.299988,976.700012,982.333008
995.099976,996.46698,975.46698,984.767029
996.666992,1002.669983,986,995.099976
992,998,986.432983,996.232971
994,999.132996,986.666992,988.067017
1002.5,1009.5,994,1001.669983
994.599976,1008.429993,981.333008,1004.22998
986,1003.799988,985.666992,994.599976
983.367004,986,975.232971,983.132996
1000.900024,1002.669983,984.232971,988.799988
1006.599976,1006.669983,991.599976,1000.630005
1013.330017,1016.429993,998.067017,1004.77002
986.900024,1011.169983,985.333008,1008.130005
997.333008,997.333008,973.599976,979.432983
1005.330017,1011.429993,980.333008,985.732971
997.333008,1009.200012,993.5,1002.22998
1039.369995,1057.329956,993.333008,995.799988
1060,1062.300049,1033.329956,1039.22998
1069.329956,1071.069946,1040.930054,1051.5
1064.199951,1076.670044,1057.77002,1068.099976
1059,1065.329956,1054.069946,1061.800049
1048,1059.199951,1042,1057.27002
1040.069946,1051.930054,1035.030029,1049.329956
1050,1050,1034.670044,1038.369995
1048.670044,1057.329956,1045.699951,1047.22998
1048,1055.670044,1041.069946,1048.530029
1058.670044,1069.099976,1043.329956,1049.599976
1044.069946,1063.329956,1038.099976,1057.22998
1039.300049,1047.300049,1028.670044,1042.969971
1045.400024,1046.530029,1028.72998,1034.27002
1045.199951,1047.829956,1031.300049,1045.329956
1038.670044,1047.469971,1036.369995,1039.869995
1036.630005,1037.430054,1014.700012,1021.77002
1050.72998,1054.630005,1033.77002,1036.329956
1044.199951,1054.670044,1034.670044,1050.72998
1033.329956,1051.329956,1032.22998,1045.400024
1003.200012,1030,1000.469971,1028.430054
992.132996,1003.27002,989.932983,997.666992
990.799988,995.333008,984.833008,988.799988
979.132996,994.333008,978.666992,982.700012
952.632996,979.599976,952,977.833008
965.666992,978.666992,934,953.732971
991.400024,1005.299988,982.267029,999.067017
997.333008,1002,986.799988,994.367004
1006.669983,1007.27002,993.666992,996.53302
975.599976,1006.669983,973.53302,1004.700012
996.333008,1001.900024,981.932983,986.833008
1006,1006,985.333008,996.132996
976,1011.330017,975.666992,1009.200012
978.666992,982.166992,970.067017,973.700012
980,982.599976,970.200012,977.432983
988.200012,1003.330017,984.200012,991.799988
1007.530029,1009.130005,991.400024,994.299988
996.799988,1009.799988,993.432983,1007.469971
983.333008,1000,974.200012,991.932983
975.200012,982.232971,974.03302,978.799988
984.666992,990.632996,970.666992,973.732971
973.333008,988.46698,961.099976,984.833008
980.03302,989.432983,974.067017,976.700012
990.799988,991.400024,978.132996,982.367004
979.932983,997.632996,977.432983,991.400024
982.666992,991.567017,968,983.267029
936,989.932983,926.666992,982.767029
840,865.767029,834.03302,861.067017
827.46698,832.400024,815.53302,828.099976
842.432983,843.900024,825.333008,827.46698
848,853.132996,834.067017,836.732971
869.333008,872,840.03302,844.067017
856.932983,874.799988,851.367004,873.232971
859.333008,872.666992,856.432983,860.732971
861.200012,864,845.833008,855.5
873.333008,876.666992,853.632996,857.666992
883.400024,893.267029,874.166992,877.400024
866.567017,889.333008,863.333008,885.166992
863.333008,881.799988,858.666992,880.03302
842.666992,864.599976,842.132996,863.03302
847.333008,848.267029,836,840.299988
829.666992,855,829.46698,849.232971
831.367004,838.599976,826.666992,831.200012
837.333008,855.432983,830,834.267029
830.666992,837.333008,824,833.833008
840.099976,844.067017,830.333008,836.400024
851.333008,855.267029,835.599976,839.700012
854,859.166992,847.367004,850.96698
840.732971,855.632996,840.232971,854
846.666992,851.732971,838.067017,843.666992
833.333008,846,827.666992,843.400024
846.46698,850,830.700012,834.632996
835.333008,845.299988,832,843.96698
823.267029,837.96698,806.03302,835.333008
